title, author, year
El señor de los anillos,J.R.R. Tolkien,1954
Cien años de soledad,Gabriel García Márquez,1967
Harry Potter y la piedra filosofal,J.K. Rowling,1997
1984,George Orwell,1949
Orgullo y prejuicio,Jane Austen,1813
La metamorfosis,Franz Kafka,1915
Don Quijote de la Mancha,Miguel de Cervantes,1605
Crónica de una muerte anunciada,Gabriel García Márquez,1981
El principito,Antoine de Saint-Exupéry,1943
Romeo y Julieta,William Shakespeare,1597
El amor en los tiempos del cólera,Gabriel García Márquez,1985
La isla del tesoro,Robert Louis Stevenson,1883
Los miserables,Victor Hugo,1862
La divina comedia,Dante Alighieri,1320
Donde los árboles cantan,Laura Gallego García,2011
Anna Karenina,León Tolstói,1877
El alquimista,Paulo Coelho,1988
Drácula,Bram Stoker,1897
El retrato de Dorian Gray,Oscar Wilde,1890
